number,contents
204845,아 . 당사자 간의 계약 의하 여 상법 679 적용 배제 하 ㄹ 있 는지 ( ) < br / > 나 아 . 원칙적 법조 적용 배제 하 고 있 자동차 종합 보험 보통 약관 규정 상법 663 조의 보험 계약자 등 불이익 변경 금지 조항 위배 되 거나 약관 규제 관하 ㄴ 법률 6 정하 ㄴ 신의칙 반하 ㄴ 불공정 하 ㄴ 약관 으로서 무효 ㄴ지 ( ) < br / > 다 . 보험 차량 양수 하 여 명의 차량 이전 등록 마치 ㄴ 양수인 약관 피 보험 자로 정 하 ㄴ 기명 피 보험자 승낙 얻 어 자동차 사용 관리 중인 하 는지 ( ) < br / > 
199605,"아 . 국토 이용 관리법 토지 거래 규제 구역 내의 토지 여 관할 관청 허가 없이 매매 계약 체결 되 ㄴ , 매수인 토지 거래 허가 신청 절차 협력 의무 이행 청구권 보전 하 기 위하 여 매도인 대위 하 여 저 3 명의 소유권 이전 등기 말소 등기 절차 이행 구하 ㄹ 있 는지 < br / > 나 아 . ‘ 아 ' 항 토지 대가 주 고 취득 하 고 서도 토지 거래 허가 잠 탈 하 기 위하 여 증여 원인 소유권 이전 등기 경 료 하 ㄴ , 등 기의 < br / > "
191829,[ 1 ] 정지 상권 건물 소유권 분리 되 어 양도 되 었 다고 하 여도 사회 질서 반하 지 않 는다고 하 ㄴ < br / > [ 2 ] 정지 상권 건물 소유 부속 되 종속적 ㄴ 권리 ㄴ지 ( ) < br / > 
197546,"타인 확정 의하 여 이미 소유권 이전 등기 마치 ㄴ , 다른 이전 등기 청구권 자가 종전 소유자 대위 하 여 등 기의 말소 구하 ㄹ 있 는지 ( ) < br / > "
75845,"1 . 조선 식량 영단 남조선 정부 법령 210 호 저 2 나 아 , 소 정의 기타 관청 급지 정부 기관 하 는지 < br / > 2 . 폐지 되 ㄴ 남조선 정부 법령 210 호 의하 ㄴ 권리 주장 가부 < br / > "
186106,"[ 1 ] 회생 계획 ㄴ가 결정 있 , 채무자 회생 파산 관하 ㄴ 법률 252 저 1 항 따르 ㄴ 회생 채권자 등 권리 변경 < br / > [ 2 ] 채권자 취소권 의하 여 책임 재산 보전 하 ㄹ 필요성 없 어 지 면 채권자 취소권 소멸 하 는지 ( ) 채권자 취소 피 보전 채권 존재 되 어 사해 행위 취소 원상회복 명하 확정 되 었 으나 재산 이나 가액 회복 마치 기 피 보전 채권 소멸 하 ㄴ , 집행력 배제 하 적법 하 ㄴ 이의 이유 되 는지 ( ) < br / > [ 3 ] 신용 보증 기금 甲 ㄴ 구상 금 채권 피 보전 채권 하여 甲 체결 하 ㄴ 부동산 증여 계약 수익 자인 乙 등 상대 채권자 취소 하 여 가액 배상금 지급 하 기로 하 내용 화해 권고 결정 확정 되 었 는데 , 甲 여 개시 되 ㄴ 회생 절차 신용 보증 기금 구상 금 채권 관하 ㄴ 회생 채권 중 일부 면제 하 고 , 나머지 현금 변제 하 내용 회생 계획 ㄴ가 결정 이루어지 었 으며 , 이에 따르 아 甲 회생 계획 서 어 정한 변제 의무 완료 하 ㄴ 乙 등 화해 권고 결정 기한 강제 집 행의 불허 구하 ㄴ , 신용 보증 기금 피 보전 채권 소멸 하 였 는데 화해 권고 결정 집행력 배제 구하 ㄹ 이의 사유 존재 하 지 않 는다고 보 ㄴ 법리 오해 등 위법 있 다고 하 ㄴ < br / > "
133919,"가처분 취소 결정 집행 가처분 등기 말소 되 ㄴ 간과 하 고 정지 재판 받 , 가처분 등기 말소 등 영향 미치 는지 ( ) < br / > "
74281,계의 당사자 능력 되 ㄴ < br / > 
157432,매도 담보 관하 ㄴ 심리 미진 실례 < br / > 
75395,가처분 신청인 본안 관하 ㄴ 패소 하 ㄴ 언제나 가처분 취소 사유 되 지의 < br / > 
189607,아 . 104 소정 불공정 하 ㄴ 법률 행위 성립 < br / > 나 아 . 환매 조건부 주식 매매 양도 담보 의하 ㄴ 주식 양도 주주 로서 의결권 기타 공익권 귀속 주체 ( ＝ 매수인 양수인 ) < br / > 
76523,아 . 조건부 < br / > 나 아 . 단기 소비 시효 규정 적용 받 이자 채권 범위 < br / > 
193721,"[ 1 ] ㄹ 제하 토지 조사 사업 당시 지목 도로 조사 되 었 으나 지 번 부여 되 지 아니하 였 뿐 만 아니 라 소유권 조사 이루어지 어 토지 조사부 등재 되 거나 토지 대장 등록 되 지 않 았 더 ㄴ 토지 국유 속하 는지 ( ) < br / > [ 2 ] 국 유 재산 법상 국유 재산 ㄴ 취득 시효 완성 되 기 위하 어서 국유 재산 취득 시효 기간 동안 계속 하 여 시효 취득 대상 되 ㄹ 있 일반 재산 어야 하 는지 ( ) 행정 재산 기능 상실 하 여 본래 용도 제공 되 지 않 상태 있 으면 곧바로 취득 시효 대상 되 일반 재산 되 ㄴ다고 보 ㄹ 것 ㄴ지 ( ) < br / > [ 3 ] ㄹ 제하 토지 조사 사업 당시 지적 원도 지목 도로 표시 되 어 있 으나 지 번 부여 되 지 아니하 였 뿐 만 아니 라 소유권 조사 이루어지 어 토지 조사부 등재 되 거나 토지 대장 등록 되 지 않 았 더 ㄴ 토지 지 번 부여받 고 국가 명의 소유권 보존 등기 되 었 다가 공용 폐지 되 ㄴ , 토지 임야 조사 사업 당시 물론 공용 폐지 되 기 까 지 국유 공공용 재산 으로서 시효 취득 대상 되 지 않 행정 재산 었 다고 보 ㄴ < br / > "
