number,contents
92623,저당권 계가 파계 되 어 청산 절차 계원 부담 하 게 되   계미 지급 의무 까지 포함 하 여 담보 하 것 보 것 상당 하 다   
195128,사무 귀속 주체 상위 지방 자치 단체장 라 하 더라도 권한 을 위임 받 하위 지방 자치 단체 도로 관리   유지 위하 여 하 점 유가 점유 보조자 지위 하 점유 라고 하   없 다   
185576,주택 임대차 보호법 임차인 우선 변제 권 되 기 위하 어 대항 임대차 계약 증서 상의 확정 일자 갖추 것 외 계약 당시 임차 보증금 전액 지급 되 어 있 을 것 을 요구 하 지 않 다   
95461,면책 약관 이나 상법상 면책 조항 당사자 사이 묵시 적   약정 없 이상 불법 행위 원인 하 손해 배상 까지 확대 적용 되   없 다   
193965,국유 재산 등 관리청 하 행정 재산 사용   수익   허가 행정 처분 으로서 특정인 행정 재산 을 사용 하   있 권리 설정 하 어 주 강학 특허 하  다   
203506,쌍무 계약 있 어서 당사자 일방 채무 이행 하 지 아니하   의사 표시 하   상대방 이행   최고 하 지 않 고 바로 계약 을 해제 하   있 다   
183793,계약 당사자 사이 계약 내용 을 처분 문서 서면 작성 하   문언 대로 의사 표시 존재 내용 을 하 어야 하지만 문언 객관적   명확 하 게 드러나 지 않 으면 계약 내용 을 합리적 해석 하 어야 하  다   
192850,건물 소유 목적 하   토지 임차인 건물 매수 청구권 행사 상대방 임대인 토지 저   양도 하 등 소유권 이전 되 었 을 건물 여도 매수 청구권 을 행사 하   있 다   
106746,을과 병 사이 계약 신원 보증 계약 아니 라 재정 보증 계약 다   
101443,가입 회원 월간 카드 이용 한도 액 을 정하   것 대금 지급 능력 을 감안 하 여 신용 거래 한도액 을 정하   것 라고 보   것 므로 피 보증인 신용 거래 한도액 내 대금 채무 이행 을 보증 하   것 라고 봄 타당 하 다   
153820,행정 처분 취소 취소 형성력 저   미치 는데 행정 확정 되 면 행정 처분 을 하   행정 당국 행정 상반 되 행정 처분 을 하   없 다   
118342,매매   상속 등 원인 의하 어 수용 변동 있 신 수용 갈 구수 용 가의 전기 사용 관련 되   모든 권리 의무 승계 하  다   
195329,주택 임대차 보호법     저   항 규정 따르 면 임차인 우선 변제 권 있 주택 임차인 라도 당해 주택 양수인 대항 하   있 우선 변제 받 을 있 다   
146043,반박 보도 청구권 본질 언론사 어 보충 적 반론 권 내지 재 반론 권 을 허용 하 것 필요 하 고 헌법상 언론 자유 나 평등 조항 부합 되  다   
165454,구 조선 수리 조합 령 관개 배수 수해 예방 을 위하 어 필요 하   조선 총독 인가 받 아 구역 내의 토지 등 을 소유 하 조합원 법인 수리 조합 을 설치 하   있 규정 하 고 있 다   
107458,부동산 소유권 이전 등기 구하 소 전소 확정 기판력 소 미치  다고 하   것 다   
190026,  저   호   년 단기 소멸 시효 걸리 채권 고 있 채권 도급 받 공사 공사 대금 채권 뿐 만 아니 라 공사 부수 되 채권 포함 하 것 다   
150679,보관 중인 고공품 결손 수량   손해액 계산 있 어 초과 부 분의 환산 액 을 공제 하 지 아니하   실례 초과 부 분의 환산 액 을 공제 하 지 않 실례 다   
74682,원고 원   피고 간의 매매 계약 체 결과 대금 완납 을 원인 소유권 이전 등기 절차 이행 하 라 고 하   가운데 미 지급 잔 대금 수령 상환 이전 등기 절차 이행 하 라는 포함 되  다고 보 아야 하  다   
145935,중 재판 아무런 규정 없 이상 중재 절차 진행 되 어 중재 판정 내려지 면 중재 계약 목적 을 달성 하 여 실효 되 었 다 고 봄 중재 제도 정신 부합 되  다   
120704,신고 납세 방식 조세 있 어서 납세 무 자의 신고 행위 중대 하 고 명백 하   하자 인하 어 당연 무효 되 지 않 납부 세액 부당 이득 하  다고 하   없 다   
71905,농림부 장관 토지 사용 목적 변경 결정 취소 되   동 토지 농지 개혁법 시행 당시 소급 하 여 같   소정 순서 따르 아 분배 하   것 다   
106509,교환 계약 취소 되 었 다 고 하   것 변론 주의 원칙 위배 되 므로 파기 면하   없 다   
175113,유명인 성명 이나 초상 등 을 광고 이용 하 게 되   으로써 따르   분쟁 일어나 고 있 으므로 이르   규율 하 기 위하 어 푸 어 블   리 시티 권 라는 새 롭   권리 개념 을 하   필요 있 다   
118347,물품 거래 지 입 차주 만이 물품 대금 을 부담 하 기로 특약한 지 입 차주 자신 거래 보 아야 하  다   
75932,타인 토지 통행 지역권 이나 통행권 을 하   만하   법률 의무 부담 하 것 합리성 있 생각 되   만하   특별 하   사정 덧붙이 어 지   것 을 필요 하  다   
64766,  저   항 규정 하   바 따르 아 언제 든지 사임 하   있 고 이사 사임 의사 표시 하 였 더라도 사임 효력 발생 하 기 사 아 임의 사르   철회 하   없 다   
197013,회사 다이 아몬드 공구 제조공정 있 어서 일반적 지식 기능 라고 하   없 특수 하   기술상 비밀 정보 가지 고 있 것 직업 선택 자유   헌법 규정 반하 지 않 다   
95192,구 관습법 조상 분묘 수호 관리 하 고 소유 하 권리 종손 있 지만 종가 종손 사망 하 여 절 가가 되   차종손 순차 아 종손 의하 어 종가 조상 제사 분묘 수호 권이 상속 되  다   
208658,서울특별시 직원   신원 보증인 되   있 호별세 등급   등 이상   신원 보증 계약 당연 무효 라고 하   없 다   
74123,차량 운행 허용 되 고 있 고속도로 전후 진행 하 차량 상호 간 충돌 을 예방 하 기 위하 어 뒷 차 거리   미터 유지 안전 수칙 요구 되  다   
114652,사립학교법   저   항 등 의하 어 사립학교 교육 지원 을 위하 어 교부 되 고 목적 이외 사용 금지 되 보조금 성질 양도 금지 되   것 보 아야 하 고 강제 집행 대상 되   있 다   
104488,보증인 신용 보증 기금 채권자   은행 사이 신용 보증 계약 을 체결 하 면서 채권자 신규 대출 형식 의하   대환 취급 을 하   없 으며 이에 위반 하   보증 채무 책임 을 면하  다고 약정 하 었 다   
191201,건설 공제 조합 조합원 부터 보증 수수료 받 고 타 아 조합원 저   하도급 계약 을 체결 하 보증 계약 상호 보험 으로서 보증 보험 유사 하   것 라고 하   것 다   
206971,친동생 증언 만 피고 작성 각서 상반 되 내용 약정 을 하 었 단정 하   없 고 원고 친동생 증언 만 피고 작성 각서 상반 되 내용 약정 을 하 었 단정 하   없 다   
161140,상법   저   항 타인 을 위하   보험 하 주 계약 개개 특약 별 하 어야 하 는데 재해 상해 특약   입원 특약   암 특약     특약     최고 적법 하 게 해지 되 었 다   
208744,임차인 정 당하   사유 없이 임대 차 계약 을 체결 하 지 않 겠 다는 의사 확정적 표시 하 였 다면 임대인 신규 임차인 을 주선 하 도록 요구 하 것 불필요 하   행위 강요 하 결과 되 어 부당 하 다   
227707,보증 신용장 따르   보증 수익자 보증 의뢰인 사이 원인 관계 단절 되 추상성 무인 성 있 다   
194535,추심 명령 을 받 아 채권 을 추심 하 채권자 집행 수권 따르 아 저   채무 자로 부터 추심 을 하 는데 저   채무 자가 집행 공탁 을 하 거나 상계 기타 사유 압류 채권 을 소멸 시키 면 효력 압류 경합 관계 있 채권자 미치  다   
114568,저   규정 을 유추 하 여 구이 사 하여금 법인 업무 수행 하 게 함 부적당하 정하   만하   특별 하   사정 없 후임 이사 선임 되   까지 이사 직무 수행 하   있 업무 수행권 되  다   
215551,  저   항 금전 채무 불이행 손해 배상액 을 법정 이율 의하   것 을 규정 하 고 약 정이 율 법정 이율 보다 낮 본문 돌아가 지 연 손해금 을 정하   것 다   
120969,선상 생활 영역 편입 되   선원 책임자 형성   유지 하 고 있 장의 상황 직   간접적 영향 을 받 만큼 책임자 장의 상황 을 선원 적응 하   있 도록 적절 하 게 형성   유지 하 여야 하   의무 있 다   
200232,근로 기준법   소정 취업 규칙 사용자 근로자 복무 규율 임금 등 당해 사업 근로자 전체 적용 되   근로 조건   준칙 을 규정 하   것 을 말하  다   
153155,공공 기관 선진화 정책 따르 아 공사 통보 받 해 총 정원 을 감축 하 내용 직제 규정 을 개정 하   목표 미달 하 인원 직권 면직 을 하   직권 면직 근로 기준법 해고 하  다   
72070,절차 추완 기일 지정 신청 당사자 책임 돌리   없 사유 인하 어 변론 기일 출석 하 지 못하 여 소나 항소 취하 되   것 되 어 여 종료 되   만 하   있 다   
81197,서울특별시 영구 임대 주택 운영 관리 규칙 임대인 임대차 계약 을 체결 하 거나 갱신 하 어야 하 며 계약 체결 되 거나 갱신 되 었 다 고 되 지 않 계약 을 해지 하 거나 새롭   계약 갱신 을 거절 하   없 다   
160684,근로 자가 근로 대가 근로자 지급 되 금원 근로 기준법   정하 임금 을 하 므로 사용자 지급 의무 지우 어 지 어 있 다면 모두 이에 포함 되 것 아니 다   
76947,사용자 의하   근로자 의하   수습 기간 연장 근로 계약 중요 하   요소 변경 므로 근로자 동의 받 거나 취업 규칙 등 근거 있 어야 하  다   
194707,구 금융 산업 구조 개선   법률 계약 전이 계약 권리   의무 이전 만 을 하 것  지 계약 권리   의무 일부 이전 포함 되 것   지에 관 하   명시 적   규정 을 찾아보   없 다   
76679,임차인 임차 보증금 반환 하 화재 목적물 멸실 되 거나 파손 되   부분 수선 불가능 하 여 목적 물이 반환 되 었 보   없 아니   임대인 보증금 반환 채무 거절 하   없 다   
192283,상법   원인 여하 관계없이 적용 되 므로 상법   상법   수하인 고 상법   상법   수하인 다   
197924,구 주택 임대차 보호법   저   항 대항 을 갖추   임대차 목적 되   임대 주택 양수인 임대인 지위 승계 하   것 보  다고 규정 하 고 있 다   
92616,자동차 운전 기술 없 사람 운전 하   제삼자 위해 가하   위험성 많으므 운전석 을 떠나   자동차 다른 사람 함부로 운전 하 지 못하 게 하 조처 강구 하 어야 하  다   
194788,근저당 권 설정 등기 위법 하 게 말소 되 어 회복 등기 경 료 하 지 못하   연유 부동산   경매 절차 배당 기일 피 담보 채권 액 하 금액 을 배당 받 지 못하   근저당 권 배당 이의 소 하 여 구제 받 을 있 다   
116130,공사 계약 일반 조건   저   항 하도급 거래 제조 위탁   수리 위탁   건설 위탁 을 모두 포함 하 것 봄 합리적 다   
146815,부동산 가압류 결정 내려지   피 보전 채권 양도 되   채권 양수인 으로서 배당 표 확정 되 기 까지 피 보전 채권 을 양수 받 았 음 을 소명 하 여 배당 을 받 을 있 다   
106164,어느 사람 연대 보증 계약 물상 보증 계약 을 체결 하   부종성 을 하   특별 하   사정 없 보증 책임 범위 담보 부동산 가액 범위 내 제한 되  다고 하   없 다   
193867,예금자 보호법   저   항 보험금 한도   당 국내 총 산 액 등 을 고려 하여 정하 고 있 다   
201598,용역 경비 계약 약관 나타나   계약 목적 경비 대상 물의 정의 규정 사용자 계약 당사자 외의 다른 저   자르   하  다   
152462,진정 성립 되 면 문서 표시 되   의사 표시 내용 어 특별 하   사유 없 실질적   증거 능력 있 다   
232495,농지 개혁 법의 적용 대상 되 농지 소유자 주관적   농경 목적 을 이루   있 상태하 있 어야 하  다   
119293,존속 회사 취업 규칙 소멸 회사 직원 어 장래 향하 여 적용 되 므로 합병 근무 기간   퇴직금 합병 회사 정하   바 따르 아 계산 하 어야 하  다   
103231,공사 도급 계약   이행 보증 보험 계약 을 체결 하 공사 금액 공사 기간 고지 의무 대상 되 중요 사항 하  다   
76884,전국 버스 운송 사업 조합 연합회 공제 조합 원고 별도 정관 공제 규정 공제 사업 약관   공제금 지급 기준 을 가지 고 있 다   
