number,contents
173640,송달 료 납 부서 의하 여 송달 료 납부 하   납부 되 었 하   없 어 보정 효과 발생 되 지 않 다   
156119,구 변호사   저   호 위반 되 행위 하 였 하 여도 당사자 아무런 이의 하 지 않 이상 행위 소송법 완전 하   효력 생기  다   
69841,구 민사 소송법   규정 소송법 대리권 을 정형 적   포괄적 법정 하   것 불과 하 고 변호사 의뢰인 사이 사법 위임 계약 내용 까지 법정 하   것 아니 다   
190936,수분 양자 분양 자로 부터 독점 운영 을 약속 받 업종   슈퍼마켓 특별 하   약정 없 으면 식료품 을 중심 일용 잡화 류 판매 하  다   
172538,국가 나 지방 자치 단체 대부 계약 목적물 을 직접 공용 이나 공공용 사용 하 기 위하 어 필요 하   대부 계약 을 해지 하   있 고 상대방 입 손해 배상 하 겠 다는 까지 담기 어 있 단정 하   없 다   
202652,백화점 내의 임대 점포 여 임대인 임차인 휴 점 금지 입주 시기   약정 위반 을 이유 임대차 계약 을 해지 하   것 정의 형평 어긋나 것 다   
73428,토지 지반 분리 하 여 입목 소유권 만 을 양도 받 당사자 간의 합의 만 입목   소유권 이전 효력 발생 하 지 않 고 명   을 실시 하 여 소유권 을 취득 하  다고 보   있 다   
71525,의료 기관 자궁 경부 암 환자   방사선 치료 하   있 어 국내 임상 의학 분야 통용 되 방사선 조사량 보다 과도 하 게 초과 하 처치 하   잘못 있음 을 이유 과실 을 하  다   
138583,야간 후행 차량 선행 사고 알리 기 위하   적절 하   조치 취하 지 않 고 전복 되   차량 앞 서 어서 손 만 흔들 다가 충돌 을 피하 지 못하   망 인의 과실 을 참작 하 여 손해 배상 책임 을     제한 하 었 다   
176318,금전 채권 채무자 채무자 약정 기하 여 공탁 하   것 을 하 것 허용 되 지 않 법리 채무자 민사 집행법   정하   집행 공탁 갖추 어 지 어 있 라도 다르 지 않 다   
147265,대학 수시 일반 전형 을 실시 하 면서 중상 위권 지원자 유리 하   내신 등급 조정 방식 을 사용 하 고 비 교과 과정 반영 평가 항목 평가 등 여 아무런 설명 하 지 않 았 다   
108213,상법   저   항 저   규정 사망 상해 보험 사고 하 인보험 한하 여 적용 되 것 며 전국 화물 자동차 운송 사업 조합 연합 회의 공제 사업 무면허 운전 인하   사고 어 면책 을 규정 하   조항 있 다   
114646,갑과 을 사이 체결 되   계약 중첩 적 채무 인수 약정 하  다는 이유 이행 인수 약정 불과 고 보   을 파기 하   다   
115068,식품 위생법 같 시행 규칙 여러 관계 규정 을 종합 하 면 임차인 임대인 다방 영업 허가 명의 변경 절차 이행 하   의무 있 고 임대인 이르   소구 하   있 다   
70452,  규정 하 채권 준 점유자 대한 변제 유효 하 려면 채권 행사 자가 채권 을 행사 하   정 당하   권한 을 가지   것 믿 을 만하   외관 을 가지 어야 하  다   
72374,육군 보병 학교 학생 연대 소속 장교 후보생 예 씨 수류탄 투척 장 안전핀 을 뽑 뒤 안전 손잡이 잡 지 않 으면   내지   초안 폭발 하  다는 것 을 듣 고 안전핀 을 뽑 고 바른손 을 어깨 올리 고 구령 을 기다리 었 다   
214209,근로 기준법   저   항 사용자 근로자 정 당하   이유 없이 해고 하 지 못하  다고 하여 해고 제한 하 고 있 다   
