number,contents
204845,상법 제679조의 취지는 보험의 목적이 양도된 경우 양수인의 양도인에 대한 관계에서 보험계약상의 권리도 함께 양도된 것으로 당사자의 통상의 의사를 추정하고 이를 사회 경제적 관점에서 긍정한 것이다.
199605,채권자대위권은 채권자가 채무자에 대한 자기의 채권을 보전하기 위해 채무자의 제3자에 대한 권리를 대위행사할 수 있는 권리를 말하며 보전되는 채권은 이행기가 도래한 것이면 족하다고 할 것이다.
191829,아파트 수분양자들은 아파트에 관한 소유권이전등기청구권을 가지고 있어 소유권이전등기를 경료하게 되면 해당 건물의 소유권을 취득하게 된다.
197546,종전의 소유자에 대한 소유권이전등기청구권을 보전하기 위해 부동산의 소유자를 대위하여 제3자 명의의 소유권이전등기의 말소를 구하는 것은 확정판결의 기판력에 저촉된다.
75845,적산으로 동결되고 처리된 재산은 인간의 기본권인 재산권의 자유를 정당한 절차에 의하지 않고 무시한 채 불법하게 박탈된 재산이기 때문에 미군정청에의 귀속을 해제하고 원소유자에게 소급하여 반환한다는 취지가 있다.
186106,채권자취소권은 채무자의 책임재산에서 일탈한 재산을 회복하여 채권자의 강제집행이 가능하도록 하는 권리이므로 채권자취소권에 의하여 책임재산을 보전할 필요성이 없어지면 채권자취소권은 소멸한다.
133919,가처분취소결정의 집행이 마쳐진 후에 이를 간과하고 효력정지의 재판을 받았다고 하더라도 제3자 명의의 소유권이전등기의 효력에는 영향을 미치지 못한다.
74281,자연부락으로서의 사평동 동민들 중 목적에 찬동하는 사람들로 조직된 사평동 동민들은 적법한 절차에 의해 대표자를 선임하면 비법인사단으로서 당사자능력이 있다.
157432,원심은 소유권이전등기말소의 본소청구를 패소시키고 원고에 대한 위 토지인도의 반소청구를 허용했다.
75395,본안 소송의 패소판결이 확정되었더라도 판결에 의해 피보전권리가 부인된 경우에 한하여 사정변경에 해당한다고 할 수 없다.
189607,"불공정한 법률행위에 관한 규정은 약자적 지위에 있는 사람의 궁박, 경솔 또는 무경험을 이용한 폭리행위를 규제하려는 데에 목적이 있다."
76523,조건부 청구는 장래의 이행을 청구하는 소로 미리 청구할 필요가 있는 때에 한하여 허용되며 조건부 청구는 장래의 이행을 청구하는 소로써 미리 청구할 필요가 있는 때에 한하여 허용된다.
193721,일제하 토지조사사업 당시 지목이 도로로 조사되었으나 지번이 부여되지 않았을 뿐만 아니라 토지대장에 등록되지 않은 토지는 국유의 공공용재산이었다고 보아야 한다.
70456,전환사채 발행은 주식회사의 물적 기초와 기존 주주들의 이해관계에 영향을 미친다는 점에서 신주를 발행하는 것과 유사하여 신주발행무효의 소에 관한다.
77077,국세징수법 제81조 소정의 압류재산에 관계되는 저당권이라 함은 체납처분에 의한 압류등기가 완료되기 전에 설정된 저당권만을 의미한다.
83629,집행증서를 소지한 동산양도담보권자는 목적물건에 대한 양도담보권설정자의 일반채권자가 강제집행의 배제를 구할 수 있다.
200169,국가배상법 제2조 소정의 공무원이 그 직무를 집행함에 당하여라고 함은 직무와 밀접한 관련이 있는 것도 포함된다.
196805,경매절물의 경락인이 유효하게 소유권을 취득한다면 경매절차에서 집행관이 영수한 매득금은 제3자이의의 소에서 승소한 자가 그 대상물에 대해 권리를 주장할 수 있다.
184529,구 공익사업을 위한 토지 등의 취득 및 보상에 관한 법률 제91조 제5항은 환매권은 공익사업에 필요한 토지의 협의취득 또는 수용의 등기가 된 때에는 제3자에게 대항할 수 있다고 정하고 있다.
233195,원고에게 소유권이전등기의 말소등기청구권이 없다는 것을 다툴 수 없는 사유를 가지고 원고에게 소유권이전등기의 말소등기청구권이 없다는 것을 다툴 수 없다.
85866,사문서의 성립에 당사자 간 다툼이 없으면 상대방이 그 서증의 진정성립에 관한 거증자의 주장을 자백한 것으로 법원은 그 자백에 구속되어 형식적 증거력을 인정해야 한다.
201149,전기사업법 제17조 제1항 소정의 전기요금 기타 공급조건은 일반전기사업자가 수용가에게 전기를 공급하는 방법과 관련하여 수용가가 부담하여야 할 요금 기타 사항을 말한다.
202757,불법행으로 인한 손해배상청구사건에서 과실상계사유에 관한 사실인정이나 비율을 정하는 것은 형평의 원칙에 비추어 불합리하다고 인정되지 않는 한 사실심의 전권사항에 속한다.
83807,집합건물의소유및관리에관한법률 제47조 제2항에 의하면 재건축 결의는 구분소유자 및 의결권의 각 4/5 이상의 다수에 의한 결의에 의하도록 규정되어 있다.
204837,원고의 피상속인 명의로 소유권이전등기가 적법하게 경료되어 있었으나 625사변으로 지적공부 및 등기부가 멸실되었다.
189176,후순위저당권의 실행으로 목적부동산이 경락되어 선순위저당권이 함께 소멸한 경우라면 소멸된 선순위저당권보다 뒤에 등기되었거나 대항력을 갖춘 임차권은 함께 소멸한다.
203375,매수인은 계약의 전부 무효를 주장할 수 있는 경우에는 이행을 거부하는 것이 당연하지만 계약을 유지하고자 할 경우 그에 상응한 자신의 채무는 이행하는 것이 옳다.
209599,구 유통산업발전법에 따른 대규모점포의 개설등록 및 구 재래시장 및 상점가 육성을 위한 특별법에 따른 시장관리자 지정이 수리를 요하는 신고로서 행정처분에 해당하는지 여부를 묻는다.
232299,"분묘기지에 대한 지상권에 유사한 물권은 유해를 매몰한 곳에 국한될 것이 아니라 분묘의 존엄유지, 사실상의 관리 및 예배제사함에 소요되는 사주의 공극지도 포함된다."
84446,구 도시재개발법 제47조는 대지 및 건축시설은 관리처분계획에 의하여 처분 또는 관리한다고 규정하고 있고 제49조 제1항은 제41조 제5항의 규정에 의한 관리처분계획에 따라 대지에 관한 소유권을 취득한다고 규정하고 있다.
74528,소외 망 이영필이가 소유한 본건물에는 원고를 근저당권자 및 지상권자로 하는 근저당권 및 지상권설정등기가 각 경료되었다.
154820,"변호사와 사건당사자간의 금 30,582,500원의 보수약정이 부당히 과다하다면 신의성실의 원칙에 반하는 계약이다."
76955,원고가 종전토지에 관한 소유권이전등기를 경료할 수 없게 된 이상 피고는 소유권이전등기를 경료해 줄 의무가 있다.
231771,채무자회생법 제100조가 정하는 부인권은 관리인만이 행사할 수 있는 권리이므로 종전 채권자는 청구취지를 채권자취소청구로 변경해야 한다.
81264,채권자가 전보배상청구권과 계약해제권 외에 별도로 대상청구권을 규정하고 있지 않으나 경락자는 소유자가 하천구역 편입으로 인해 지급받게 되는 손실보상금에 대한 대상청구권을 행사할 수 있다.
153960,농지가 농개법에 의해 국가에 당연 매수되어 농지소유자가 소유권을 상실하였다 하더라도 원인없이 경료된 자 명의의 소유권이전등기의 말소를 소구할 이익이 있다.
95809,"토지 소유자가 매각하고 남은 토지를 주민들의 공로로 제공한 경우 통로로 사용하고 있는 주민들이 그 현황에 따라 효율을 높이기 위해 집수정의 설치, 하수도 및 도로포장을 함에 있어 피고시가 공사비의 상당부분을 제공했다."
192182,집합물에 대한 양도담보권설정계약이 이루어진 경우 양도담보권설정자는 양도담보권설정자를 제외한 제3자에 대한 관계에 있어서 자신이 그 소유자임을 주장하여 권리를 행사할 수 있다.
104802,부동산등기법 제49조에 규정된 등기의무자가 본인임을 보증한다는 것은 등기신청을 하는 사람과 등기부상의 명의인이 같은 사람이라는 것을 선량한 관리자의 주의로 확인한다는 것이다.
85954,민법 제177조에 소위 제3자라 함은 등기의 흠결을 주장함에 법률상 정당한 이익을 갖인 자에 한하며 등기의 흠결을 주장함에 법률상 정당한 이익을 갖인 자에 한한다.
104527,가압 가압류등기가 무효인 등기라면 부동산 소유자는 가압류채권자를 상대로 그 가압류등기의 말소청구를 할 수 있다.
72759,사망자를 상대로 한 판결에 기하여 이루어진 등기라 할지라도 그것이 실체권리관계에 부합될 때 등기는 유효한 등기로 귀착된다.
102678,심리미진 및 채증법칙위반의 위법이 있어 원심판결을 파기한 예는 심리미진 및 채증법칙위반의 위법이 있어 원심판결을 파기한 예다.
226447,甲과 戊은 甲 회사의 대표이사로서 업무 일체를 丙에게 위임하고 대표이사의 직무를 전혀 집행하지 않은 것은 직무상 충실 및 선관의무를 위반한 행위에 해당한다.
93795,제소전화해조서의 기판력은 명의신탁을 적법히 해지하고 그 명의신탁해지를 원인으로 소유권이전등기절차의 이행을 소구하는 경우에 미치지 않는다.
144866,사해행위 당시에 법률관계에 터잡아 채권이 성립되리라는 점에 대한 개연성이 현실화되어 채권이 성립된 경우 그 채권도 채권자취소권의 피보전채권이 될 수 있다.
80803,진정한 등기명의의 회복을 위한 소유권이전등기청구는 등기명의의 회복을 원인으로 한 소유권이전등기절차의 이행을 구하는 것이다.
210061,외국국적인 선박에 대하여 대한민국에서 경매절차가 진행되는 경우 그 집행절차에 따른 소유권의 취득은 실체법적 영역이므로 선적국법인 외국의 법률에 따라 판단해야 한다.
223859,재심피고가 동 피고의 망부묘를 타인의 임야상에 설치하고 평온·공연히 동 기지를 점유해 오던 중 모가 사망하자 망부 묘지에 망모의 분묘를 쌍분으로 설치한 경우다.
169483,민법 제404조에서 규정하고 있는 채권자대위권은 채무자의 제3자에 대한 권리를 대위하여 행사할 수 있는 권리를 말하며 보전의 필요성이 인정되어야 한다.
82135,부동산실권리자명의등기에관한법률 제4조 제2항 단서의 규정을 적용할 여지 없이 무효라고 봄이 상당하고 을에 대하여 부동산에 관한 소유권이전등기절차의 이행을 구할 수 있다.
103164,부동산등기법 제55조 제8호 소정의 부동산등기법 제55조 제8호에 해당되는 경우 등기공무원은 등기신청을 각하해야 할 것이나 등기공무원의 처분에 관한 이의신청의 방법으로는 말소를 구할 수 없다.
70563,저작권법 제52조 제1호에 의하면 저작재산권의 양도 또는 처분제한에 관한 사항은 이를 등록하지 않으면 제3자에게 대항할 수 없으며 저작재산권의 양도를 등록하지 않은 양수인도 저작재산권의 양도를 대항할 수 있다.
196753,등기관리의 통지가 없으면 토지대장에 등록할 수 없다고 규정한 구 토지대장규칙은 구토지대장상의 등록일자 이전에 소유권이전등기가 경료되었다고 보기 어렵다.
196222,점유자의 점유가 소유의 의사 없는 타주점유인지의 여부는 점유자의 내심의 의사에 의해 결정되는 것이 아니라 모든 사정에 의하여 외형적·객관적으로 결정되어야 한다.
167474,주택임대차보호법상 임대주택의 양도에 양수인의 임대차보증금반환채무의 면책적 인수를 인정하는 이유는 임차인이 같은 법에서 규정하는 대항요건을 구비하면 임대차보증금을 우선변제받을 수 있기 때문이다.
193649,국세징수법 제81조 제5항 소정의 배분처분은 조세채권을 행사한다는 점에서 조세의 자력집행권이 구체적 목적을 달성하는 과정으로 볼 수 있다.
156449,건물부지의 공유자들이 대지를 분할하여 그 건물부지를 공유자중의 한사람의 단독소유로 귀속된 경우 특별한 사정이 없는 한 그 건물 소유자는 관습에 의한 법정지상권을 취득한다.
106725,토지와 건물이 모두 국가소유에 속해 있던 중 토지가 개인에게 불하매도되어 각 소유자를 달리하게 된 경우 지상건물을 철거한다는 특약을 한 것은 점유권원의 성질상 자주점유로 볼 수 없다.
200944,농지개혁법의 시행으로 수분배자에게 분배된 농지는 소멸되고 소멸된다.
95630,민법 제1014조 소정의 상속재산 처분후의 피인지자들의 청구권에 기한 것이라면 지연손해금 청구채권도 상속회복청구권의 확장이다.
232155,본건 가옥이 신청인의 소유 내지 점유에 속한다 하더라도 피신청인 등이 본건 가옥을 점유하고 있는 이상 출입금지를 구하는 가처분신청은 부당하다.
191070,사해행위라고 주장되는 행위 이후의 채무자의 변제 노력과 채권자의 태도 등도 사해의사의 유무를 판단함에 있어 간접사실로 삼을 수 있다.
150235,농지가 본조 제1항 제7호 소정의 위토에 해당하면 아무런 절차나 필요 없이 본법 제5조의 정부매수에서 제외되며 그 위토에 대한 분배는 무효이다.
199782,공용폐지의 의사표시는 적법한 의사표시가 있어야 하고 행정재산이 본래 용도에 사용되지 않고 있다는 사실만으로 용도폐지의 의사표시가 있었다고 볼 수 없다.
220237,상가를 분양하면서 첨단 오락타운을 조성하고 전문경영인에 의한 위탁경영을 통해 일정 수익을 보장한다는 광고를 하였다고 하여 상대방을 기망하여 분양계약을 체결하게 한 것이라 볼 수 없다.
158134,종전 소유자의 소유권은 영구히 소멸되고 성토화 한 토지에 대한 소유권을 취득하지 못한다.
83321,구 민사소송법 제608조 제2항에 포함되지 않는 전세권이라도 낙찰기일 이전에 존속기간이 만료되는 경우 전세권자는 적법하게 배당요구를 할 수 있다.
154846,원고가 주소를 알면서 허위주소로 제소하여 공시송달의 방법으로 승소확정판결을 받았다는 이유로 피고가 제기한 재심의 소에서는 원고에 대한 새로운 청구를 병합하는 것은 부적법하다.
73233,특정채무의 담보로서 하는 저당권을 설정함이 없이 채권자와 근저당권설정계약을 맺고 이에 따른 근저당권을 설정한 것이라면 근저당권의 효력이 미친다.
207427,민법 제766조 소정 손해를 안 날은 위법한 토지구획사업으로 토지 소유권을 상실한 자가 그 토지에 대한 환지처분이 위법하다고 인식한 때부터 손해배상청구권의 소멸시효가 진행되는 것이다.
97182,부동산등기법 제55조 제2호에 해당하는 것이 아니며 동조 제8호의 신청서에 필요한 서면을 첨부하지 않은 경우에 불과하여 등기공무원이 말소를 구할 수 없다.
194995,공공용지의취득및손실보상에관한특례법 소정의 환매권을 재판상 행사하였음을 원인으로 한 소유권이전등기청구의 소가 각하되자 불복 상고하면서 환매대금의 선이행의무를 부과한 규정에 대한 위헌여부심판제청신청을 했다.
154843,채무 전체의 부존재확인을 구하는 소극적 확인의 소는 부존재확인을 구하는 목적인 법률관계가 가분이고 분량적으로 일부만이 부존하는 경우 청구전부를 기각할 것이 아니라 일부패소의 판결을 할 수 있다.
204809,대지를 매수하였으나 그 명의로 소유권이전등기를 마치지 아니하고 타인 명의로 신탁한 경우 신탁자는 동일인의 소유임을 전제로 한 법정지상권을 취득할 수 없다.
207340,가등기 담보권자는 담보물에 대한 싯가를 적정가격으로 평가한 후 피담보채권 금원과 채무자가 부담할 비용 등을 공제하고 남는 금원을 채무자에게 변제공탁하여 담보부동산을 자기소유로 귀속시키는 정산 절차를 거쳐야 한다.
93746,도시계획법에 의한 재개발사업시행자가 사법상의 매매계약을 체결했을 경우 계약상의 매매대금만 청구할 뿐 별도로 공공용지의취득및손실보상에관한특례법에 따라 보상을 청구할 수 없다.
119876,손익상계의 법리는 손해배상이 실손해의 전보를 목적으로 하는 것인 만큼 피해자로 하여금 실손해 이상의 이익을 취득하게 하는 것은 손해배상의 본지에 반하는 것이다.
198785,채무자가 제3채무자에 대하여 가지는 택지를 분양받을 수 있는 권리 내지 환지 전 대지를 공급받을 수 있는 권리를 대상으로 한 처분금지가처분은 등기할 수 있는 성질의 것도 아니다.
94540,소외인에게 한 채권양도가 채권추심을 위한 것임을 피고가 알지 못한 경우 원고가 피고에게 채권양도 통지를 한 후 원고가 채권양도를 해제했다는 사실만으로 그 채권양도의 해제를 피고에게 대항할 수 없다.
199372,부동산중개업자의 금원대여 행위를 상법 제47조에 의하여 영업을 위하여 한 상행위로 추정하여 발생한 채권은 5년의 상사시효의 적용을 받는다.
150237,대리권 없음을 알았거나 알 수 있었을 것이라는 점에 대한 주장입증책임은 무권대리인에게 있다.
74844,동일인의 소유에 속한 경우라도 동일인의 소유에 속한 경우라도 그 대지가 제3자에게 양도되어 소유권이전등기까지 되어버린 경우 관습에 의한 법정지상권을 주장할 수 없다.
